# Sesion:3 Fecha:2026-04-05 21:12:05 Shots:1 Duracion:11,71s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
0.0000,1232856,0.405151,-0.427612,-0.502197,0.633118,67.8643,0
0.0100,1232866,0.407471,-0.425110,-0.504089,0.631836,68.3996,0
0.0200,1232876,0.409851,-0.422668,-0.505981,0.630371,68.9237,0
0.0300,1232886,0.412231,-0.420410,-0.507935,0.628723,69.4226,0
0.0400,1232896,0.414551,-0.418396,-0.510010,0.626892,69.8840,0
0.0500,1232906,0.416748,-0.416687,-0.512146,0.624817,70.3124,0
0.0600,1232916,0.418884,-0.415161,-0.514343,0.622620,70.7174,0
0.0700,1232926,0.421021,-0.413757,-0.516479,0.620361,71.1263,0
0.0800,1232936,0.423096,-0.412292,-0.518555,0.618164,71.5687,0
0.0900,1232946,0.425232,-0.410645,-0.520447,0.616211,72.0607,0
0.1000,1232956,0.427368,-0.408752,-0.522095,0.614563,72.6129,0
0.1100,1232966,0.429565,-0.406433,-0.523499,0.613342,73.2043,0
0.1200,1232976,0.431824,-0.403870,-0.524658,0.612488,73.8035,0
0.1300,1232986,0.434021,-0.401184,-0.525818,0.611694,74.3762,0
0.1400,1232996,0.437988,-0.396118,-0.528503,0.609863,74.8993,0
0.1500,1233006,0.439697,-0.393982,-0.530090,0.608643,75.3698,0
0.1600,1233016,0.441162,-0.392151,-0.531799,0.607239,75.7839,0
0.1700,1233026,0.442444,-0.390686,-0.533691,0.605591,76.1497,0
0.1800,1233036,0.443665,-0.389282,-0.535583,0.603943,76.4990,0
0.1900,1233046,0.444946,-0.387878,-0.537292,0.602417,76.8672,0
0.2000,1233056,0.446350,-0.386169,-0.538818,0.601074,77.2845,0
0.2100,1233066,0.448059,-0.384155,-0.540039,0.600037,77.7650,0
0.2200,1233076,0.449890,-0.381775,-0.541016,0.599243,78.2947,0
0.2300,1233086,0.451782,-0.379272,-0.541870,0.598694,78.8470,0
0.2400,1233096,0.453674,-0.376770,-0.542664,0.598145,79.3933,0
0.2500,1233106,0.455444,-0.374329,-0.543457,0.597534,79.9173,0
0.2600,1233116,0.457153,-0.372070,-0.544434,0.596802,80.4023,0
0.2700,1233126,0.458679,-0.369995,-0.545532,0.595886,80.8383,0
0.2800,1233136,0.460083,-0.368164,-0.546875,0.594788,81.2332,0
0.2900,1233146,0.461365,-0.366455,-0.548218,0.593567,81.5973,0
0.3000,1233156,0.462585,-0.364868,-0.549622,0.592285,81.9588,0
0.3100,1233166,0.463318,-0.363770,-0.550781,0.591309,82.3308,0
0.3200,1233176,0.464539,-0.362061,-0.551941,0.590332,82.7235,0
0.3300,1233186,0.465698,-0.360168,-0.552917,0.589661,83.1502,0
0.3400,1233196,0.466858,-0.358032,-0.553772,0.589233,83.6007,0
0.3500,1233206,0.468079,-0.355713,-0.554504,0.588989,84.0894,0
0.3600,1233216,0.469177,-0.353271,-0.555237,0.588928,84.5371,0
0.3700,1233226,0.470093,-0.350891,-0.556152,0.588745,84.9210,0
0.3800,1233236,0.470764,-0.348633,-0.557434,0.588318,85.2216,0
0.3900,1233246,0.471130,-0.346741,-0.559143,0.587524,85.4469,0
0.4000,1233256,0.471252,-0.345093,-0.561218,0.586365,85.6193,0
0.4100,1233266,0.471191,-0.343628,-0.563660,0.584961,85.7691,0
0.4200,1233276,0.470886,-0.340942,-0.568848,0.581787,85.9185,0
0.4300,1233286,0.470825,-0.339478,-0.571289,0.580261,86.0986,0
0.4400,1233296,0.470825,-0.338013,-0.573608,0.578857,86.3107,0
0.4500,1233306,0.471008,-0.336487,-0.575684,0.577515,86.5552,0
0.4600,1233316,0.471313,-0.334900,-0.577576,0.576294,86.8231,0
0.4700,1233326,0.471741,-0.333313,-0.579285,0.575073,87.1087,0
0.4800,1233336,0.472412,-0.331848,-0.580872,0.573853,87.4049,0
0.4900,1233346,0.473145,-0.330383,-0.582275,0.572632,87.7186,0
0.5000,1233356,0.474060,-0.329102,-0.583435,0.571472,88.0451,0
0.5100,1233366,0.475159,-0.327881,-0.584351,0.570312,88.3857,0
0.5200,1233376,0.476318,-0.326782,-0.585022,0.569275,88.7375,0
0.5300,1233386,0.477539,-0.325745,-0.585571,0.568298,89.0980,0
0.5400,1233396,0.478821,-0.324829,-0.585876,0.567383,89.4604,0
0.5500,1233406,0.479919,-0.324036,-0.586853,0.565979,89.8327,0
0.5600,1233416,0.481201,-0.323120,-0.587463,0.564697,90.2167,0
0.5700,1233426,0.482727,-0.322266,-0.587402,0.563965,90.5937,0
0.5800,1233436,0.484192,-0.321472,-0.587402,0.563171,90.9599,0
0.5900,1233446,0.485596,-0.320801,-0.587585,0.562195,91.2876,0
0.6000,1233456,0.486938,-0.320374,-0.588013,0.560852,91.5585,0
0.6100,1233466,0.488098,-0.320068,-0.588745,0.559143,91.7646,0
0.6200,1233476,0.489136,-0.320068,-0.589844,0.557129,91.9026,0
0.6300,1233486,0.489929,-0.320313,-0.591187,0.554810,91.9672,0
0.6400,1233496,0.490540,-0.320679,-0.592651,0.552551,92.0349,0
0.6500,1233506,0.490906,-0.321228,-0.594055,0.550415,92.1346,0
0.6600,1233516,0.491028,-0.321716,-0.595276,0.548645,92.3043,0
0.6700,1233526,0.491028,-0.322083,-0.596130,0.547546,92.5563,0
0.6800,1233536,0.491028,-0.322144,-0.596497,0.547119,92.8840,0
0.6900,1233546,0.491455,-0.321411,-0.596497,0.547119,93.2474,0
0.7000,1233556,0.491821,-0.319946,-0.596130,0.548035,93.5983,0
0.7100,1233566,0.491516,-0.319946,-0.595886,0.548584,93.8892,0
0.7200,1233576,0.491089,-0.320313,-0.595764,0.548950,94.1089,0
0.7300,1233586,0.490540,-0.320923,-0.595764,0.549011,94.2783,0
0.7400,1233596,0.490112,-0.321716,-0.595703,0.549011,94.4212,0
0.7500,1233606,0.489685,-0.322571,-0.595642,0.548950,94.5454,0
0.7600,1233616,0.489197,-0.323547,-0.595581,0.548889,94.6543,0
0.7700,1233626,0.488770,-0.324463,-0.595459,0.548828,94.7610,0
0.7800,1233636,0.488403,-0.325317,-0.595154,0.549072,94.8961,0
0.7900,1233646,0.488037,-0.325928,-0.594543,0.549622,95.0704,0
0.8000,1233656,0.487732,-0.326416,-0.593689,0.550537,95.2761,0
0.8100,1233666,0.487366,-0.326843,-0.592712,0.551636,95.4823,0
0.8200,1233676,0.486938,-0.327454,-0.591797,0.552673,95.6571,0
0.8300,1233686,0.486450,-0.328247,-0.590942,0.553528,95.7781,0
0.8400,1233696,0.485901,-0.329163,-0.590393,0.554077,95.8501,0
0.8500,1233706,0.485229,-0.330261,-0.589905,0.554504,95.8805,0
0.8600,1233716,0.484436,-0.331543,-0.589355,0.555054,95.8800,0
0.8700,1233726,0.483582,-0.332764,-0.588806,0.555603,95.8761,0
0.8800,1233736,0.482666,-0.333984,-0.588196,0.556335,95.8718,0
0.8900,1233746,0.481812,-0.335083,-0.587585,0.557068,95.8708,0
0.9000,1233756,0.480957,-0.335999,-0.586792,0.558044,95.8877,0
0.9100,1233766,0.480164,-0.336731,-0.585937,0.559204,95.9449,0
0.9200,1233776,0.479492,-0.337402,-0.585022,0.560364,95.9697,0
0.9300,1233786,0.478760,-0.338196,-0.584106,0.561462,95.9393,0
0.9400,1233796,0.477844,-0.339233,-0.583374,0.562317,95.8469,0
0.9500,1233806,0.476746,-0.340576,-0.582886,0.562927,95.7177,0
0.9600,1233816,0.475586,-0.342224,-0.582458,0.563416,95.5836,0
0.9700,1233826,0.474365,-0.343811,-0.581970,0.563965,95.4646,0
0.9800,1233836,0.472107,-0.346924,-0.580688,0.565308,95.3609,0
0.9900,1233846,0.471069,-0.348267,-0.579956,0.566101,95.2642,0
1.0000,1233856,0.470154,-0.349487,-0.579224,0.566833,95.1653,0
