# Sesion:19 Fecha:2026-04-06 20:25:09 Shots:1 Duracion:9,59s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
0.0000,1132397,0.748474,-0.650269,0.128052,-0.022339,71.7883,0,0
0.0100,1132407,0.748779,-0.650024,0.127380,-0.023132,72.0436,0,0
0.0200,1132417,0.749023,-0.649902,0.126770,-0.023865,72.2755,0,0
0.0300,1132427,0.749084,-0.649902,0.126160,-0.024475,72.4772,0,0
0.0400,1132437,0.749023,-0.650085,0.125549,-0.025085,72.6458,0,0
0.0500,1132447,0.748718,-0.650513,0.125000,-0.025635,72.7759,0,0
0.0600,1132457,0.748291,-0.651062,0.124390,-0.026123,72.8843,0,0
0.0700,1132467,0.747925,-0.651611,0.123779,-0.026672,72.9947,0,0
0.0800,1132477,0.747498,-0.652161,0.123108,-0.027161,73.0999,0,0
0.0900,1132487,0.747070,-0.652771,0.122437,-0.027588,73.2012,0,0
0.1000,1132497,0.746704,-0.653259,0.121765,-0.028076,73.3120,0,0
0.1100,1132507,0.746399,-0.653748,0.121094,-0.028564,73.4355,0,0
0.1200,1132517,0.746094,-0.654175,0.120422,-0.028992,73.5639,0,0
0.1300,1132527,0.745850,-0.654602,0.119812,-0.029419,73.6984,0,0
0.1400,1132537,0.745667,-0.654907,0.119141,-0.029907,73.8465,0,0
0.1500,1132547,0.745422,-0.655334,0.117676,-0.031067,74.0036,0,0
0.1600,1132557,0.745300,-0.655701,0.116272,-0.032288,74.1748,0,0
0.1700,1132567,0.745239,-0.656006,0.114929,-0.033447,74.3635,0,0
0.1800,1132577,0.745117,-0.656311,0.113586,-0.034546,74.5617,0,0
0.1900,1132587,0.745117,-0.656494,0.112366,-0.035645,74.7611,0,0
0.2000,1132597,0.745056,-0.656677,0.111145,-0.036682,74.9682,0,0
0.2100,1132607,0.745056,-0.656799,0.109924,-0.037720,75.1706,0,0
0.2200,1132617,0.745056,-0.656982,0.108704,-0.038757,75.3682,0,0
0.2300,1132627,0.745056,-0.657043,0.107605,-0.039734,75.5527,0,0
0.2400,1132637,0.744873,-0.657471,0.105713,-0.041626,75.7260,0,0
0.2500,1132647,0.744690,-0.657776,0.104797,-0.042542,75.8946,0,0
0.2600,1132657,0.744507,-0.658020,0.103882,-0.043396,76.0599,0,0
0.2700,1132667,0.744446,-0.658203,0.103027,-0.044250,76.2350,0,0
0.2800,1132677,0.744385,-0.658386,0.102234,-0.045044,76.4088,0,0
0.2900,1132687,0.744202,-0.658630,0.101440,-0.045776,76.5642,0,0
0.3000,1132697,0.744019,-0.658875,0.100708,-0.046509,76.7103,0,0
0.3100,1132707,0.743835,-0.659180,0.099976,-0.047241,76.8577,0,0
0.3200,1132717,0.743774,-0.659302,0.099243,-0.047974,77.0189,0,0
0.3300,1132727,0.743713,-0.659424,0.098511,-0.048767,77.1841,0,0
0.3400,1132737,0.743652,-0.659546,0.097778,-0.049500,77.3450,0,0
0.3500,1132747,0.743530,-0.659729,0.097046,-0.050232,77.4976,0,0
0.3600,1132757,0.743408,-0.659851,0.096375,-0.051025,77.6517,0,0
0.3700,1132767,0.743347,-0.659973,0.095764,-0.051697,77.8061,0,0
0.3800,1132777,0.743347,-0.660034,0.095215,-0.052429,77.9684,0,0
0.3900,1132787,0.743408,-0.659973,0.094604,-0.053101,78.1427,0,0
0.4000,1132797,0.743530,-0.659851,0.094055,-0.053772,78.3169,0,0
0.4100,1132807,0.743591,-0.659790,0.093567,-0.054382,78.4790,0,0
0.4200,1132817,0.743713,-0.659729,0.093079,-0.054810,78.6326,0,0
0.4300,1132827,0.743835,-0.659607,0.092712,-0.055237,78.7827,0,0
0.4400,1132837,0.743958,-0.659485,0.092285,-0.055542,78.9302,0,0
0.4500,1132847,0.744019,-0.659424,0.091919,-0.055725,79.0662,0,0
0.4600,1132857,0.744141,-0.659363,0.091431,-0.055908,79.1986,0,0
0.4700,1132867,0.744263,-0.659302,0.091003,-0.056030,79.3245,0,0
0.4800,1132877,0.744324,-0.659241,0.090454,-0.056152,79.4431,0,0
0.4900,1132887,0.744385,-0.659302,0.089905,-0.056274,79.5435,0,0
0.5000,1132897,0.744324,-0.659424,0.089294,-0.056335,79.6288,0,0
0.5100,1132907,0.744141,-0.659668,0.088684,-0.056458,79.7095,0,0
0.5200,1132917,0.743774,-0.660278,0.087341,-0.056885,79.7988,0,0
0.5300,1132927,0.743591,-0.660522,0.086670,-0.057129,79.8952,0,0
0.5400,1132937,0.743408,-0.660767,0.085999,-0.057495,79.9953,0,0
0.5500,1132947,0.743286,-0.661011,0.085388,-0.057800,80.1006,0,0
0.5600,1132957,0.743164,-0.661133,0.084778,-0.058228,80.2181,0,0
0.5700,1132967,0.743225,-0.661133,0.084167,-0.058655,80.3555,0,0
0.5800,1132977,0.743347,-0.661011,0.083618,-0.059082,80.5087,0,0
0.5900,1132987,0.743530,-0.660828,0.083069,-0.059570,80.6610,0,0
0.6000,1132997,0.743713,-0.660645,0.082520,-0.060120,80.8042,0,0
0.6100,1133007,0.743835,-0.660522,0.082092,-0.060608,80.9261,0,0
0.6200,1133017,0.743835,-0.660522,0.081726,-0.061035,81.0290,0,0
0.6300,1133027,0.743835,-0.660522,0.081360,-0.061462,81.1287,0,0
0.6400,1133037,0.743896,-0.660461,0.080994,-0.061890,81.2289,0,0
0.6500,1133047,0.744019,-0.660339,0.080627,-0.062256,81.3397,0,0
0.6600,1133057,0.744141,-0.660217,0.080200,-0.062744,81.4445,0,0
0.6700,1133067,0.744324,-0.660034,0.079712,-0.063110,81.5567,0,0
0.6800,1133077,0.744446,-0.659912,0.079224,-0.063477,81.6589,0,0
0.6900,1133087,0.744507,-0.659912,0.078735,-0.063782,81.7448,0,0
0.7000,1133097,0.744446,-0.659973,0.078308,-0.064148,81.8225,0,0
0.7100,1133107,0.744385,-0.660034,0.077942,-0.064392,81.8893,0,0
0.7200,1133117,0.744263,-0.660217,0.077576,-0.064697,81.9410,0,0
0.7300,1133127,0.744080,-0.660461,0.077209,-0.064941,81.9956,0,0
0.7400,1133137,0.743896,-0.660645,0.076904,-0.065186,82.0594,0,0
0.7500,1133147,0.743835,-0.660767,0.076538,-0.065430,82.1279,0,0
0.7600,1133157,0.743774,-0.660828,0.076172,-0.065674,82.2055,0,0
0.7700,1133167,0.743774,-0.660828,0.075806,-0.065857,82.2842,0,0
0.7800,1133177,0.743835,-0.660828,0.075500,-0.066040,82.3602,0,0
0.7900,1133187,0.743835,-0.660828,0.075195,-0.066162,82.4349,0,0
0.8000,1133197,0.743896,-0.660767,0.074646,-0.066467,82.5034,0,0
0.8100,1133207,0.743896,-0.660828,0.074402,-0.066528,82.5675,0,0
0.8200,1133217,0.743896,-0.660828,0.074280,-0.066711,82.6272,0,0
0.8300,1133227,0.743896,-0.660828,0.074158,-0.066772,82.6881,0,0
0.8400,1133237,0.743896,-0.660828,0.074097,-0.066833,82.7383,0,0
0.8500,1133247,0.743835,-0.660889,0.073975,-0.066895,82.7831,0,0
