# Sesion:1 Fecha:2026-04-14 13:18:47 Shots:2 Duracion:19,43s Valor:10.9
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,140159136,0.488098,-0.260681,0.511963,-0.657104,72.5985,97.1021,241
0.0100,140159146,0.486938,-0.262085,0.511047,-0.658020,72.8001,97.3647,0
0.0200,140159156,0.485779,-0.263550,0.510376,-0.658875,72.9821,97.6283,0
0.0300,140159166,0.484680,-0.265076,0.509644,-0.659607,73.1656,97.9064,0
0.0400,140159176,0.483643,-0.266418,0.508972,-0.660339,73.3566,98.1935,0
0.0500,140159186,0.482788,-0.267822,0.508240,-0.660950,73.5522,98.4880,0
0.0600,140159196,0.482056,-0.269165,0.507446,-0.661560,73.7527,98.7895,0
0.0700,140159206,0.481445,-0.270508,0.506592,-0.662109,73.9556,99.0909,0
0.0800,140159216,0.481018,-0.271851,0.505798,-0.662476,74.1618,99.3887,0
0.0900,140159226,0.480652,-0.273193,0.504883,-0.662903,74.3700,99.6777,0
0.1000,140159236,0.480042,-0.275818,0.503052,-0.663635,74.5743,99.9595,0
0.1100,140159246,0.479675,-0.277039,0.502258,-0.664001,74.7658,100.2345,0
0.1200,140159256,0.479248,-0.278259,0.501648,-0.664246,74.9374,100.5097,0
0.1300,140159266,0.478821,-0.279480,0.501160,-0.664429,75.1003,100.7837,0
0.1400,140159276,0.478394,-0.280579,0.500793,-0.664551,75.2583,101.0550,0
0.1500,140159286,0.477966,-0.281555,0.500427,-0.664734,75.4171,101.3193,0
0.1600,140159296,0.477539,-0.282532,0.500000,-0.664917,75.5860,101.5777,0
0.1700,140159306,0.477173,-0.283386,0.499512,-0.665222,75.7664,101.8269,0
0.1800,140159316,0.476807,-0.284180,0.498962,-0.665527,75.9499,102.0692,0
0.1900,140159326,0.476257,-0.285278,0.498474,-0.665833,76.1211,102.3030,0
0.2000,140159336,0.475647,-0.286316,0.498108,-0.666077,76.2722,102.5354,0
0.2100,140159346,0.475037,-0.287415,0.497986,-0.666138,76.3966,102.7749,0
0.2200,140159356,0.474365,-0.288513,0.497986,-0.666138,76.5001,103.0199,0
0.2300,140159366,0.473816,-0.289490,0.498047,-0.666016,76.6011,103.2669,0
0.2400,140159376,0.473511,-0.290161,0.498108,-0.665894,76.7220,103.5123,0
0.2500,140159386,0.473450,-0.290588,0.497986,-0.665894,76.8824,103.7538,0
0.2600,140159396,0.473511,-0.290955,0.497559,-0.666016,77.0751,103.9897,0
0.2700,140159406,0.473694,-0.291138,0.496887,-0.666260,77.2916,104.2173,0
0.2800,140159416,0.473999,-0.291321,0.496216,-0.666504,77.5129,104.4378,0
0.2900,140159426,0.474182,-0.291565,0.495483,-0.666809,77.7244,104.6496,0
0.3000,140159436,0.474365,-0.291870,0.494873,-0.666992,77.8994,104.8573,0
0.3100,140159446,0.474548,-0.292236,0.494385,-0.667114,78.0597,105.0583,0
0.3200,140159456,0.474670,-0.292542,0.493958,-0.667175,78.2217,105.2513,0
0.3300,140159466,0.474976,-0.292725,0.493530,-0.667236,78.3951,105.4377,0
0.3400,140159476,0.475281,-0.292725,0.492981,-0.667358,78.5836,105.6119,0
0.3500,140159486,0.475647,-0.292664,0.492310,-0.667664,78.7825,105.7718,0
0.3600,140159496,0.476013,-0.292542,0.491516,-0.667969,78.9756,105.9195,0
0.3700,140159506,0.476685,-0.292358,0.489929,-0.668762,79.1579,106.0563,0
0.3800,140159516,0.476990,-0.292358,0.489136,-0.669128,79.3276,106.1803,0
0.3900,140159526,0.477356,-0.292419,0.488159,-0.669556,79.5068,106.2940,0
0.4000,140159536,0.477783,-0.292542,0.487000,-0.670105,79.7021,106.3967,0
0.4100,140159546,0.478210,-0.292786,0.485596,-0.670654,79.9111,106.4888,0
0.4200,140159556,0.478821,-0.293030,0.484192,-0.671143,80.1093,106.5721,0
0.4300,140159566,0.479431,-0.293396,0.482788,-0.671509,80.2810,106.6517,0
0.4400,140159576,0.480042,-0.293884,0.481567,-0.671753,80.4213,106.7261,0
0.4500,140159586,0.480591,-0.294495,0.480591,-0.671814,80.5275,106.7995,0
0.4600,140159596,0.481079,-0.295227,0.479736,-0.671753,80.6059,106.8703,0
0.4700,140159606,0.481323,-0.296326,0.479126,-0.671509,80.6646,106.9469,0
0.4800,140159616,0.481628,-0.297363,0.478699,-0.671204,80.7194,107.0261,0
0.4900,140159626,0.482239,-0.298035,0.478027,-0.670959,80.7792,107.1053,0
0.5000,140159636,0.482910,-0.298584,0.477234,-0.670715,80.8605,107.1796,0
0.5100,140159646,0.483704,-0.299072,0.476318,-0.670654,80.9635,107.2465,0
0.5200,140159656,0.484497,-0.299500,0.475220,-0.670593,81.0786,107.2977,0
0.5300,140159666,0.485291,-0.300049,0.474182,-0.670532,81.1884,107.3385,0
0.5400,140159676,0.485657,-0.301147,0.473511,-0.670227,81.2745,107.3694,0
0.5500,140159686,0.485840,-0.302490,0.473022,-0.669861,81.3274,107.3908,0
0.5600,140159696,0.486267,-0.303467,0.472534,-0.669495,81.3446,107.4021,0
0.5700,140159706,0.486572,-0.304626,0.472107,-0.669006,81.3218,107.3906,0
0.5800,140159716,0.486816,-0.305908,0.471802,-0.668457,81.3108,107.3707,0
0.5900,140159726,0.486511,-0.307922,0.471619,-0.667847,81.3155,107.3471,0
0.6000,140159736,0.486267,-0.309814,0.471436,-0.667297,81.3321,107.3228,0
0.6100,140159746,0.486084,-0.311584,0.471191,-0.666748,81.3678,107.2979,0
0.6200,140159756,0.485901,-0.313171,0.470947,-0.666321,81.4264,107.2765,0
0.6300,140159766,0.485779,-0.315735,0.470032,-0.665894,81.5109,107.2587,0
0.6400,140159776,0.485779,-0.316833,0.469360,-0.665833,81.6247,107.2458,0
0.6500,140159786,0.485901,-0.317749,0.468445,-0.665955,81.7628,107.2348,0
0.6600,140159796,0.486267,-0.318237,0.467529,-0.666138,81.9072,107.2212,0
0.6700,140159806,0.486633,-0.318665,0.466614,-0.666260,82.0410,107.2071,0
0.6800,140159816,0.486877,-0.319092,0.465820,-0.666443,82.1607,107.1914,0
0.6900,140159826,0.487061,-0.319580,0.465149,-0.666504,82.2609,107.1709,0
0.7000,140159836,0.487122,-0.320068,0.464600,-0.666626,82.3480,107.1503,0
0.7100,140159846,0.487244,-0.320496,0.464111,-0.666687,82.4332,107.1342,0
0.7200,140159856,0.487244,-0.320923,0.463501,-0.666870,82.5292,107.1275,0
0.7300,140159866,0.487427,-0.321167,0.462830,-0.667175,82.6460,107.1270,0
0.7400,140159876,0.487671,-0.321228,0.461975,-0.667480,82.7875,107.1330,0
0.7500,140159886,0.488098,-0.321228,0.460999,-0.667908,82.9450,107.1404,0
0.7600,140159896,0.488647,-0.321106,0.459900,-0.668335,83.1132,107.1522,0
0.7700,140159906,0.489197,-0.320923,0.458801,-0.668701,83.2754,107.1663,0
0.7800,140159916,0.489807,-0.320740,0.457764,-0.669067,83.4320,107.1776,0
0.7900,140159926,0.490479,-0.320557,0.456604,-0.669495,83.5857,107.1847,0
0.8000,140159936,0.491150,-0.320435,0.455505,-0.669800,83.7269,107.1907,0
0.8100,140159946,0.491882,-0.320435,0.454346,-0.670044,83.8547,107.1938,0
0.8200,140159956,0.492554,-0.320496,0.453247,-0.670227,83.9609,107.1966,0
0.8300,140159966,0.493164,-0.320679,0.452332,-0.670288,84.0350,107.2009,0
0.8400,140159976,0.493774,-0.321045,0.451599,-0.670227,84.0622,107.2107,0
0.8500,140159986,0.494385,-0.321411,0.450989,-0.669983,84.0768,107.2229,0
0.8600,140159996,0.494934,-0.321838,0.450500,-0.669739,84.0894,107.2360,0
0.8700,140160006,0.495544,-0.322266,0.450012,-0.669373,84.1116,107.2504,0
0.8800,140160016,0.496216,-0.322632,0.449585,-0.669006,84.1492,107.2711,0
0.8900,140160026,0.496948,-0.322876,0.449097,-0.668640,84.2040,107.2887,0
0.9000,140160036,0.498718,-0.323120,0.447815,-0.668091,84.2661,107.3009,0
