# Sesion:28 Fecha:2026-04-14 20:24:32 Shots:1 Duracion:15,36s
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,994956,-0.739929,0.651245,0.057800,-0.158142,66.5680,308.8634,0
0.0100,994966,-0.741028,0.650452,0.061279,-0.155151,67.2397,309.7133,0
0.0200,994976,-0.741760,0.649902,0.064514,-0.152344,67.8591,310.5742,0
0.0300,994986,-0.742126,0.649780,0.067627,-0.149719,68.4111,311.4506,0
0.0400,994996,-0.742187,0.649963,0.070557,-0.147217,68.9153,312.3347,0
0.0500,995006,-0.742187,0.650269,0.073242,-0.144775,69.4018,313.2162,0
0.0600,995016,-0.742249,0.650452,0.075745,-0.142334,69.9078,314.0844,0
0.0700,995026,-0.742676,0.650269,0.078064,-0.139832,70.4606,314.9260,0
0.0800,995036,-0.743469,0.649597,0.080261,-0.137207,71.0747,315.7285,0
0.0900,995046,-0.744812,0.648437,0.082458,-0.134216,71.7814,316.5100,0
0.1000,995056,-0.746521,0.646790,0.084656,-0.131042,72.5462,317.2449,0
0.1100,995066,-0.748474,0.644897,0.087036,-0.127686,73.3309,317.9421,0
0.1200,995076,-0.750427,0.643005,0.089478,-0.124146,74.1010,318.6076,0
0.1300,995086,-0.752197,0.641235,0.092163,-0.120422,74.8322,319.2497,0
0.1400,995096,-0.753784,0.639709,0.095032,-0.116638,75.5145,319.8714,0
0.1500,995106,-0.755066,0.638428,0.098083,-0.112732,76.1012,320.4624,0
0.1600,995116,-0.756042,0.637390,0.101379,-0.108765,76.6162,321.0448,0
0.1700,995126,-0.756653,0.636841,0.104797,-0.104675,77.0487,321.6341,0
0.1800,995136,-0.756653,0.636841,0.108337,-0.100647,77.4107,322.2333,0
0.1900,995146,-0.756226,0.637390,0.111938,-0.096619,77.7322,322.8469,0
0.2000,995156,-0.755493,0.638245,0.115540,-0.092651,78.0741,323.4722,0
0.2100,995166,-0.754700,0.639038,0.119019,-0.088806,78.4858,324.1019,0
0.2200,995176,-0.754150,0.639343,0.125793,-0.081604,78.9793,324.7372,0
0.2300,995186,-0.754456,0.638733,0.129089,-0.078247,79.5433,325.3758,0
0.2400,995196,-0.755066,0.637817,0.132324,-0.075012,80.1611,326.0146,0
0.2500,995206,-0.755798,0.636536,0.135498,-0.071899,80.8153,326.6541,0
0.2600,995216,-0.756775,0.635132,0.138550,-0.068848,81.4933,327.2901,0
0.2700,995226,-0.757812,0.633484,0.141541,-0.065735,82.1849,327.9235,0
0.2800,995236,-0.758911,0.631897,0.144348,-0.062622,82.8694,328.5525,0
0.2900,995246,-0.759888,0.630432,0.147095,-0.059448,83.5232,329.1785,0
0.3000,995256,-0.760681,0.629211,0.149597,-0.056091,84.1367,329.8079,0
0.3100,995266,-0.761230,0.628174,0.152039,-0.052673,84.7065,330.4385,0
0.3200,995276,-0.761597,0.627441,0.154297,-0.049194,85.2341,331.0697,0
0.3300,995286,-0.761780,0.626953,0.156616,-0.045715,85.7283,331.7039,0
0.3400,995296,-0.761780,0.626587,0.158875,-0.042297,86.1946,332.3416,0
0.3500,995306,-0.761719,0.626343,0.161194,-0.039001,86.6441,332.9754,0
0.3600,995316,-0.761475,0.626160,0.163696,-0.035767,87.0841,333.6029,0
0.3700,995326,-0.761292,0.625916,0.166138,-0.032654,87.5494,334.2530,0
0.3800,995336,-0.761108,0.625610,0.168762,-0.029785,88.0258,334.9031,0
0.3900,995346,-0.760925,0.625183,0.171326,-0.027161,88.5174,335.5548,0
0.4000,995356,-0.760925,0.624634,0.173950,-0.024719,89.0270,336.2074,0
0.4100,995366,-0.760986,0.623901,0.176514,-0.022583,89.5583,336.8607,0
0.4200,995376,-0.761230,0.622986,0.179016,-0.020630,90.1074,337.5106,0
0.4300,995386,-0.761475,0.621948,0.181580,-0.018799,90.6673,338.1559,0
0.4400,995396,-0.761719,0.620911,0.184143,-0.017090,91.2044,338.7850,0
0.4500,995406,-0.761902,0.619995,0.186707,-0.015442,91.6929,339.4000,0
0.4600,995416,-0.761841,0.619324,0.189331,-0.013672,92.1115,340.0009,0
0.4700,995426,-0.761414,0.619080,0.191895,-0.011902,92.4555,340.5862,0
0.4800,995436,-0.760620,0.619324,0.194458,-0.009949,92.7268,341.1573,0
