# Sesion:45 Fecha:2026-04-14 20:53:23 Shots:1 Duracion:11,27s Valor:9,9
tSeg,ms,qw,qx,qy,qz,filteredElev,filteredYaw,shot
0.0000,146386,0.717468,-0.605347,0.270020,-0.214172,65.3293,5.9328,0
0.0100,146396,0.716431,-0.606506,0.267090,-0.217896,66.0314,6.7992,0
0.0200,146406,0.715454,-0.607605,0.264221,-0.221680,66.7544,7.6511,0
0.0300,146416,0.714539,-0.608459,0.261353,-0.225525,67.4972,8.4905,0
0.0400,146426,0.713806,-0.609131,0.258362,-0.229492,68.2465,9.3174,0
0.0500,146436,0.712402,-0.610291,0.252319,-0.237366,68.9895,10.1346,0
0.0600,146446,0.711670,-0.610901,0.249268,-0.241211,69.7054,10.9487,0
0.0700,146456,0.710754,-0.611694,0.246338,-0.244751,70.3810,11.7651,0
0.0800,146466,0.709656,-0.612732,0.243591,-0.248169,71.0021,12.5847,0
0.0900,146476,0.708313,-0.614014,0.241028,-0.251282,71.5703,13.4085,0
0.1000,146486,0.706848,-0.615479,0.238647,-0.254150,72.1017,14.2405,0
0.1100,146496,0.705383,-0.616943,0.236389,-0.256714,72.6149,15.0806,0
0.1200,146506,0.704102,-0.618286,0.234192,-0.259155,73.1444,15.9250,0
0.1300,146516,0.703125,-0.619202,0.231873,-0.261597,73.7258,16.7668,0
0.1400,146526,0.702698,-0.619568,0.229370,-0.264038,74.3792,17.5952,0
0.1500,146536,0.702820,-0.619324,0.226624,-0.266602,75.1154,18.4080,0
0.1600,146546,0.703369,-0.618652,0.223694,-0.269226,75.9090,19.2026,0
0.1700,146556,0.704041,-0.617798,0.220703,-0.271912,76.7056,19.9736,0
0.1800,146566,0.704468,-0.617126,0.217896,-0.274597,77.4413,20.7242,0
0.1900,146576,0.704346,-0.617004,0.215393,-0.277222,78.0777,21.4525,0
0.2000,146586,0.703674,-0.617371,0.213135,-0.279724,78.6054,22.1602,0
