# Sesion:1 Fecha:2026-03-08 15:33:42 Shots:0 Duracion:17,91s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
0,0210,23.1250,-56.5625,71.6197,-236.3451,46.5528,251.3077,-0.1600,0.2800,-0.2100,0.3848,8.0100,-0.7100,-5.5300,25,-19.2500,-27.0000,-1.6875,0,0,0,0
0,0370,23.1250,-56.4375,46.5528,-250.6690,53.7148,260.5521,-0.2000,0.2300,-0.3100,0.4347,7.9600,-0.7600,-5.6500,25,-18.7500,-26.5625,-2.0000,0,0,0,0
0,0570,23.1250,-56.3125,-125.3345,-239.9261,64.4578,278.2590,-0.2100,0.2100,-0.2100,0.3637,7.9400,-0.7700,-5.5600,25,-18.7500,-26.5625,-2.0000,0,0,0,0
0,0780,23.1875,-56.1875,-28.6479,-293.6409,89.5247,308.3186,-0.1700,0.2100,-0.3200,0.4188,7.8800,-0.8400,-5.7200,25,-18.3750,-27.0000,-1.6875,0,0,0,0
0,0980,23.1250,-56.0625,125.3345,-311.5458,68.0387,342.6351,-0.1900,0.2100,-0.2600,0.3844,7.9300,-0.7800,-5.6600,25,-18.3750,-27.0000,-1.6875,0,0,0,0
0,1190,23.0625,-55.8750,207.6972,-350.9367,114.5916,423.5869,-0.1100,0.3200,-0.1000,0.3528,8.0000,-0.6700,-5.5200,25,-18.3750,-27.0000,-1.6875,0,0,0,0
0,1390,22.8750,-55.7500,168.3063,-368.8416,93.1056,415.9805,-0.1200,0.2900,-0.2000,0.3722,7.9700,-0.7000,-5.6300,25,-18.7500,-27.2500,-1.2500,0,0,0,0
0,1600,22.8750,-55.5625,14.3239,-368.8416,71.6197,376.0036,-0.0800,0.2700,-0.3200,0.4263,8.0000,-0.7100,-5.7700,25,-18.7500,-27.2500,-1.2500,0,0,0,0
0,1800,22.8750,-55.4375,-64.4578,-325.8698,39.3908,334.5109,-0.1900,0.1300,-0.3100,0.3861,7.8700,-0.8500,-5.7900,25,-18.6875,-27.0000,-1.2500,0,0,0,0
0,2000,23.0000,-55.3125,-96.6866,-218.4402,57.2958,245.6567,-0.1900,0.1800,-0.4100,0.4864,7.8600,-0.8000,-5.9100,25,-18.6875,-27.0000,-1.2500,0,0,0,0
0,2200,23.1250,-55.1250,-139.6585,-182.6303,14.3239,230.3551,-0.1000,0.2300,-0.2800,0.3759,7.9400,-0.7400,-5.8000,25,-18.6875,-27.0000,-1.2500,0,0,0,0
0,2410,23.1875,-55.0625,-164.7254,-196.9542,0.0000,256.7595,-0.1300,0.1600,-0.2300,0.3089,7.9000,-0.7900,-5.7600,25,-18.2500,-26.5625,-1.0000,0,0,0,0
0,2620,23.2500,-55.0000,-53.7148,-229.1831,71.6197,246.0479,-0.1400,0.1400,-0.2700,0.3348,7.8800,-0.8200,-5.8200,25,-18.2500,-26.5625,-1.0000,0,0,0,0
0,2780,23.3125,-54.8750,-35.8099,-222.0211,82.3627,239.4981,-0.1800,0.0800,-0.1700,0.2602,7.8200,-0.8700,-5.7300,25,-17.1875,-26.5625,-0.1875,0,0,0,0
0,3020,23.3125,-54.7500,-103.8486,-175.4683,64.4578,213.8421,-0.1300,0.1600,-0.0900,0.2249,7.8700,-0.7900,-5.6700,25,-17.1875,-26.5625,-0.1875,0,0,0,0
0,3200,23.4375,-54.6875,-111.0106,-207.6972,-7.1620,235.6115,-0.1600,0.1400,-0.1200,0.2441,7.8300,-0.8000,-5.7100,25,-17.1875,-26.5625,-0.1875,0,0,0,0
0,3400,23.4375,-54.6250,-46.5528,-250.6690,7.1620,255.0557,-0.0800,0.1900,-0.3000,0.3640,7.9000,-0.7600,-5.9000,25,-18.0000,-26.5625,-0.5000,0,0,0,0
0,3600,23.5000,-54.5000,-196.9542,-107.4296,46.5528,229.1271,-0.1400,0.1400,-0.3100,0.3678,7.8300,-0.8000,-5.9300,25,-18.0000,-26.5625,-0.5000,0,0,0,0
0,3800,23.6250,-54.4375,-53.7148,-111.0106,93.1056,154.5228,-0.1100,0.1800,-0.2200,0.3048,7.8600,-0.7600,-5.8500,25,-18.0625,-26.5625,-1.0000,0,0,0,0
0,4020,23.6875,-54.3750,-111.0106,-60.8768,60.8768,140.4824,-0.0900,0.1900,-0.3100,0.3746,7.8800,-0.7400,-5.9500,25,-18.0625,-26.5625,-1.0000,0,0,0,0
0,4220,23.8125,-54.3125,-114.5916,17.9049,42.9718,123.6867,-0.1700,0.1100,-0.0900,0.2216,7.7900,-0.8200,-5.7200,25,-18.0625,-26.5625,-1.0000,0,0,0,0
0,4420,23.8125,-54.3125,68.0387,-100.2676,68.0387,138.9681,-0.1200,0.1400,-0.2000,0.2720,7.8400,-0.7900,-5.8500,25,-19.8750,-26.2500,0.1875,0,0,0,0
0,4620,23.7500,-54.2500,46.5528,-93.1056,-28.6479,107.9654,-0.1200,0.1300,-0.2300,0.2902,7.8300,-0.7900,-5.8800,25,-19.8750,-26.2500,0.1875,0,0,0,0
0,4830,23.8750,-54.1875,-103.8486,-50.1338,-193.3733,225.1469,-0.1100,0.1200,-0.2500,0.2983,7.8400,-0.7900,-5.9000,25,-18.7500,-26.1875,-0.5625,0,0,0,0
0,5030,24.0000,-54.1875,-17.9049,-121.7535,-236.3451,266.4649,-0.0900,0.1500,-0.2000,0.2657,7.8500,-0.7600,-5.8600,25,-18.7500,-26.1875,-0.5625,0,0,0,0
0,5200,24.0625,-54.1250,60.8768,-161.1444,-143.2395,224.0335,-0.1100,0.1900,-0.1300,0.2551,7.8300,-0.7000,-5.8100,25,-18.7500,-26.1875,-0.5625,0,0,0,0
0,5400,24.0625,-54.0625,-7.1620,-128.9155,-93.1056,159.1828,-0.1900,0.0600,-0.1500,0.2494,7.7400,-0.8300,-5.8400,25,-18.0625,-27.1875,-1.0625,0,0,0,0
0,5610,24.0625,-54.0000,21.4859,-89.5247,50.1338,104.8318,-0.0400,0.2200,-0.1600,0.2750,7.8800,-0.6600,-5.8500,25,-18.0625,-27.1875,-1.0625,0,0,0,0
0,5850,24.1250,-53.9375,-39.3908,-14.3239,60.8768,73.9107,-0.0600,0.2400,-0.1400,0.2843,7.8600,-0.6500,-5.8400,25,-18.0625,-27.5625,-1.0000,0,0,0,0
0,6060,24.1875,-53.9375,-57.2958,-35.8099,57.2958,88.5887,-0.0600,0.1800,-0.2700,0.3300,7.8600,-0.6900,-5.9700,25,-18.0625,-27.5625,-1.0000,0,0,0,0
0,6230,24.3125,-53.9375,-153.9824,21.4859,35.8099,159.5449,-0.1300,0.1000,-0.1500,0.2223,7.7900,-0.7700,-5.8500,25,-18.0625,-27.5625,-1.0000,0,0,0,0
0,6470,24.3750,-53.8750,-82.3627,-64.4578,10.7430,105.1372,-0.0900,0.1300,-0.1700,0.2322,7.8300,-0.7400,-5.8800,25,-18.7500,-26.8750,-1.0000,0,0,0,0
