# Sesion:2 Fecha:2026-03-08 15:36:43 Shots:0 Duracion:19,80s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
0.0210,50.8750,12.4375,17.9049,10141.3535,-261.4120,10144.7373,0.5100,0.2900,1.2800,1.4080,-1.3100,0.2500,-8.3400,25,15.7500,-13.0000,97.5625,0,3,1,1
0.0420,50.8750,7.3125,1042.0670,10270.2685,239.9261,10325.7871,0.9400,1.2000,0.8000,1.7215,-0.3000,1.1000,-8.9200,25,15.7500,-13.0000,97.5625,0,3,1,1
0.0620,51.0625,5.6250,-512.0811,10134.1914,1435.9754,10248.2236,0.8400,1.1600,0.2500,1.4539,0.1600,1.0800,-9.5200,25,13.3750,-13.6875,93.2500,0,3,1,1
0.0860,52.0000,0.3750,-1514.7572,10288.1738,2345.5458,10660.3281,0.5400,0.8800,0.1300,1.0406,0.4700,0.8800,-9.6700,25,13.3750,-13.6875,93.2500,0,3,1,1
0.1030,52.6250,-3.1250,-2392.0988,10574.6523,1607.8627,10960.4121,-0.2100,-0.4000,0.2800,0.5315,0.3300,-0.2600,-9.5000,25,9.7500,-11.7500,86.3750,0,3,1,1
0.1280,52.8750,-6.6875,1221.1163,10130.6103,526.4050,10217.5097,-0.3500,-0.2700,1.2300,1.3070,0.7900,-0.1500,-8.4900,25,9.7500,-11.7500,86.3750,0,3,1,1
0.1440,52.6250,-10.2500,3649.0249,10477.9658,-859.4367,11128.4218,-0.2000,-0.1700,0.3300,0.4217,1.5500,-0.2100,-9.3100,25,9.7500,-11.7500,86.3750,0,3,1,1
0.1690,52.3125,-13.7500,4447.5849,10091.2197,-189.7923,11029.4951,0.1100,0.3200,0.9200,0.9803,2.4400,0.0200,-8.5900,25,5.0000,-10.0625,79.0000,0,3,1,1
0.1890,52.6250,-16.8750,2832.5600,8988.2753,1582.7958,9556.0312,-0.1400,0.3600,-0.1100,0.4016,2.9300,-0.1900,-9.4100,25,5.0000,-10.0625,79.0000,0,3,1,1
0.2100,53.3125,-19.5625,200.5352,7892.4936,2037.5811,8153.7358,-0.3200,0.0200,-0.2900,0.4323,3.1700,-0.5700,-9.4300,25,0.5625,-6.0625,73.5000,0,3,1,1
0.2300,54.0625,-22.1875,-827.2078,7785.0639,1636.5107,7998.1035,-0.2200,0.0900,0.0000,0.2377,3.6800,-0.4900,-8.9600,25,0.5625,-6.0625,73.5000,0,3,1,1
0.2510,54.7500,-24.7500,-712.6163,7656.1484,1643.6727,7862.9565,0.0000,0.2800,0.3300,0.4328,4.2900,-0.3100,-8.4500,25,-2.6875,-2.0000,65.3750,0,3,1,1
0.2720,55.4375,-27.2500,-354.5177,7208.5253,1296.3170,7332.7319,-0.2300,0.2500,0.3100,0.4599,4.4400,-0.3600,-8.2800,25,-2.6875,-2.0000,65.3750,0,3,1,1
0.2920,56.1875,-30.6875,-93.1056,6639.1484,1285.5740,6763.1103,-0.0700,0.3900,-0.2100,0.4484,4.9300,-0.2400,-8.6100,25,-2.6875,-2.0000,65.3750,0,3,1,1
0.3120,56.5000,-31.8125,-179.0493,6836.1025,1636.5107,7031.5375,-0.1000,0.4200,-0.3500,0.5558,5.2300,-0.2500,-8.5500,25,-5.6875,1.0000,60.0625,0,3,1,1
0.3360,57.6250,-35.2500,-1034.9050,7061.7050,1876.4367,7379.6831,-0.3300,0.2100,0.4300,0.5813,5.3200,-0.4800,-7.5300,25,-5.6875,1.0000,60.0625,0,3,1,1
0.3570,58.5000,-37.5000,-1607.8627,6707.1875,1862.1129,7144.1621,-0.5500,0.1100,0.6300,0.8435,5.4100,-0.5700,-7.1100,25,-9.6875,1.8750,56.0625,0,3,1,1
0.3770,59.3750,-39.5625,-1403.7465,6177.2011,1819.1409,6590.7202,-0.4300,0.3500,0.1800,0.5829,5.8000,-0.3300,-7.3400,25,-9.6875,1.8750,56.0625,0,3,1,1
0.3970,60.1875,-41.5000,-1092.2008,5783.2929,1629.3487,6106.8940,-0.5000,0.3400,0.7000,0.9250,5.9900,-0.3500,-6.6000,25,-9.6875,1.8750,56.0625,0,3,1,1
