# Sesion:116 Fecha:2026-03-08 21:05:55 Shots:0 Duracion:1,29s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0210,196.8750,2.1875,1822.7220,-820.0458,1937.3135,2783.5185,-2.0300,1.2300,0.8800,2.5314,-2.4200,3.0400,-8.7400,26,7.2500,-22.8750,33.7500,1,0,3,3,-169.0000
0.0410,197.7500,2.3125,1733.1973,-232.7641,1342.8698,2204.8701,-3.0800,1.2200,0.4600,3.3446,-3.4800,2.9700,-9.1700,26,7.2500,-22.8750,33.7500,0,0,3,3,-169.7500
0.0660,198.0000,2.3125,4014.2856,-42.9718,540.7290,4050.7683,-2.6100,1.4900,0.6400,3.0728,-3.0000,2.4800,-9.1500,26,9.2500,-21.7500,31.8750,0,0,3,3,-170.9375
0.0910,198.2500,2.0000,5249.7260,759.1691,522.8240,5330.0380,-1.3000,-0.3400,0.8200,1.5742,-1.6500,0.7800,-8.9000,26,9.2500,-21.7500,31.8750,0,0,3,3,-173.3750
0.1150,198.5000,1.5625,4963.2470,1281.9930,673.2254,5170.1606,-1.0000,-0.6400,1.1100,1.6253,-1.2700,0.1800,-8.6400,26,9.5625,-21.6875,30.3750,0,0,3,3,-175.0625
0.1400,198.7500,1.0625,4039.3525,1622.1867,780.6550,4422.3618,-0.9100,0.2000,0.0500,0.9331,-1.0500,0.6700,-9.7400,26,9.5625,-21.6875,30.3750,0,0,3,3,-176.5000
0.1640,199.2500,0.2500,3727.8066,1486.1092,1049.2290,4148.0048,-0.3700,-0.5700,-0.3100,0.7469,-0.4200,-0.3000,-10.1100,26,8.0000,-20.5000,31.7500,0,0,3,3,-178.3750
0.1890,199.6875,-0.1250,5059.9335,1299.8980,1486.1092,5431.4990,-0.5600,-0.1600,0.0500,0.5846,-0.4900,-0.3200,-9.7400,26,8.0000,-20.5000,31.7500,0,0,3,3,179.8750
0.2130,200.5000,-0.8750,5500.3950,1690.2254,1618.6058,5977.5488,-0.6300,0.1900,0.4800,0.8145,-0.4800,-0.2800,-9.3000,26,6.8750,-18.7500,32.5625,0,0,3,3,177.1250
0.2380,200.9375,-1.5000,3720.6447,2059.0671,1124.4296,4398.5561,-0.0300,-0.2900,0.8500,0.8986,0.2800,-1.1100,-8.9100,26,6.8750,-18.7500,32.5625,0,0,3,3,175.6250
0.2620,201.5000,-2.6875,2080.5529,2521.0144,959.7044,3406.6472,0.2100,0.4900,0.2800,0.6022,0.6700,-0.4500,-9.4600,26,5.3750,-16.1875,34.5000,0,0,3,3,174.3750
0.2870,201.6875,-3.8125,558.6339,3269.4404,447.6233,3346.8911,0.5400,-0.5700,0.5400,0.9529,1.2600,-1.5800,-9.1800,26,5.3750,-16.1875,34.5000,0,0,3,3,174.1250
0.3160,202.0000,-5.0000,1031.3240,2327.6411,619.5106,2620.1787,-0.0900,0.2600,-0.6100,0.6692,0.7700,-0.8100,-10.3200,26,3.2500,-15.2500,34.0625,0,0,3,3,173.6250
0.3400,202.2500,-5.5625,422.5564,1550.5670,537.1480,1694.5029,0.3800,-0.0700,-0.3700,0.5350,1.3700,-1.1800,-10.0600,26,3.2500,-15.2500,34.0625,0,0,3,3,173.4375
0.3650,202.6250,-6.1875,-1410.9085,1196.0494,794.9790,2013.2532,0.6600,-0.5600,-0.3200,0.9228,1.7100,-1.6000,-10.0200,26,1.3750,-15.1875,34.3750,0,0,3,3,173.8750
0.3900,203.1250,-6.5625,-1511.1761,1432.3945,1543.4050,2591.8151,0.7100,-0.0900,-0.5400,0.8965,1.8800,-1.0100,-10.2300,26,1.3750,-15.1875,34.3750,0,0,3,3,174.3125
0.4120,204.1875,-7.1875,-2345.5458,1256.9261,1837.0458,3233.6027,0.8000,0.0100,-1.7700,1.9424,2.0300,-0.7800,-11.4700,26,0.6875,-14.7500,33.5000,0,0,3,3,175.2500
0.4390,204.9375,-7.4375,-1937.3135,841.5318,2148.5917,3012.9396,0.2000,0.0100,-1.6400,1.6522,1.4900,-0.6400,-11.3400,26,0.6875,-14.7500,33.5000,0,0,3,3,175.9375
0.4630,206.0000,-7.6250,-2410.0036,490.5951,1887.1798,3100.0400,0.0600,0.0400,-0.8200,0.8232,1.3600,-0.5200,-10.5200,26,-1.5000,-15.5000,32.6875,0,0,3,3,176.6250
0.4880,206.8125,-7.8750,-1962.3804,830.7888,2352.7080,3174.3317,0.0500,0.1700,-0.0600,0.1871,1.4100,-0.2400,-9.7600,26,-1.5000,-15.5000,32.6875,0,0,3,3,177.2500
0.5160,207.5625,-8.3750,-1546.9860,1461.0423,-522.8240,2191.1540,-2.3400,3.9600,3.9300,6.0500,-0.9100,3.6100,-5.7600,26,-1.8750,-16.1875,32.7500,0,0,3,3,177.8750
