# Sesion:123 Fecha:2026-03-08 21:10:32 Shots:3 Duracion:1,06s Valor:10.5
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
0.0250,320.3750,-3.5000,-6105.5815,1339.2888,78.7817,6251.2421,-0.2100,0.7400,0.2700,0.8152,0.3900,3.0800,9.7700,27,10.6875,4.0000,-27.5625,3,3,1,3,-13.8125
0.0460,320.3750,-3.1250,-4630.2153,1364.3557,-53.7148,4827.3437,0.0500,0.8500,0.3700,0.9284,0.5400,2.7900,9.9700,27,11.6875,6.5625,-28.5000,3,3,1,3,-12.1250
0.0700,320.1875,-2.3125,-2986.5424,1650.8347,-207.6972,3418.7465,0.1800,0.4200,-0.1500,0.4809,0.5800,2.1500,9.4900,27,11.6875,6.5625,-28.5000,3,3,1,3,-10.1250
0.0740,SHOT
0.0940,320.1875,-1.6875,-422.5564,1890.7607,25.0669,1937.5650,0.3400,0.6300,-0.4000,0.8201,0.6400,2.3000,9.2500,27,11.6875,6.5625,-28.5000,3,3,1,3,-9.8125
0.1190,319.8750,-1.2500,1389.4227,1260.5072,547.8909,1954.3691,0.0800,0.8200,-0.2200,0.8528,0.2800,2.5900,9.4100,27,12.0000,9.0625,-27.2500,3,3,1,3,-10.1250
0.1400,319.3125,-1.1250,941.7994,397.4895,952.5424,1397.2547,0.0400,0.7700,-0.0700,0.7742,0.2400,2.6200,9.5500,27,12.0000,9.0625,-27.2500,3,3,1,3,-10.8750
0.1640,318.8125,-0.5625,-834.3698,1858.5318,-42.9718,2037.6850,-0.1300,0.6900,0.3400,0.7801,-0.0200,2.5100,9.9700,27,13.1875,8.3750,-27.6875,3,3,1,3,-10.6875
0.1890,318.7500,-0.1250,-572.9578,1317.8029,376.0036,1485.3497,0.1900,0.3900,-0.3800,0.5767,0.1800,2.1600,9.2500,27,13.1875,8.3750,-27.6875,3,3,1,3,-10.4375
0.2090,318.3125,0.2500,572.9578,1564.8909,179.0493,1676.0737,0.2300,0.7900,-0.4300,0.9284,0.1400,2.5700,9.2000,27,13.5000,8.6875,-26.3750,3,3,1,3,-10.3750
0.2340,318.1250,0.9375,1389.4227,1378.6796,336.6127,1986.0919,0.1300,0.7400,-0.3300,0.8206,-0.0300,2.5900,9.2900,27,13.5000,8.6875,-26.3750,3,3,1,3,-10.8750
0.2540,317.5625,1.3125,1264.0881,1052.8099,640.9965,1765.5605,-0.1700,0.9100,-0.1900,0.9450,-0.4000,2.8400,9.4100,27,13.8750,7.5000,-26.5000,3,3,1,3,-11.3125
0.2790,317.1250,1.3750,-519.2430,687.5494,1203.2114,1479.8835,0.2300,0.6900,-0.3600,0.8115,-0.0100,2.6200,9.2400,27,13.8750,7.5000,-26.5000,3,3,1,3,-11.3750
0.3000,316.1250,1.5625,-186.2113,608.7677,1156.6585,1320.2770,0.1000,0.6000,-0.4900,0.7811,-0.1600,2.5400,9.1100,27,15.3750,7.5000,-25.5625,3,3,1,3,-11.3750
0.3240,315.6250,1.5625,637.4155,433.2994,1446.7185,1639.2197,0.3300,0.4100,-0.4100,0.6672,0.0600,2.4000,9.1800,27,15.3750,7.5000,-25.5625,3,3,1,3,-11.6875
0.3450,315.0625,1.4375,1690.2254,-128.9155,1779.7501,2457.8430,0.4000,-0.0100,-0.2900,0.4942,-0.0300,2.3200,9.2600,27,14.6875,7.5625,-26.0625,3,3,1,3,-12.2500
0.3700,314.3125,1.2500,1353.6127,-132.4965,1350.0318,1916.3530,0.0000,0.8600,-0.3500,0.9285,-0.2100,3.0700,9.1900,27,14.6875,7.5625,-26.0625,3,3,1,3,-13.0000
0.3730,SHOT
0.3930,314.0625,1.2500,-343.7747,540.7290,207.6972,673.5777,0.0000,0.8000,-0.0400,0.8010,-0.2300,3.0200,9.5000,27,14.6875,7.5625,-26.0625,3,3,1,3,-13.0625
0.4140,313.9375,1.4375,-755.5881,504.9191,222.0211,935.4945,0.3700,0.4300,-0.0700,0.5716,-0.2800,2.8500,9.1800,27,14.6875,7.2500,-26.0625,3,3,1,3,-12.8125
0.4390,313.8125,1.3750,-161.1444,-311.5458,411.8134,540.9423,0.2800,0.5900,-0.5600,0.8603,0.0600,2.7600,8.9900,27,14.6875,7.2500,-26.0625,3,3,1,3,-12.7500
0.4630,313.2500,1.1875,558.6339,-89.5247,572.9578,805.2125,0.1300,0.5800,-0.2000,0.6271,-0.0700,2.7700,9.3500,27,15.7500,6.3750,-26.5000,3,3,1,3,-12.8750
0.4840,313.1250,1.0000,-60.8768,-637.4155,454.7853,785.3879,0.1100,0.4300,-0.2100,0.4910,-0.0500,2.6400,9.3300,27,15.7500,6.3750,-26.5000,3,3,1,3,-13.0000
0.5080,312.8750,0.7500,-340.1937,-315.1268,333.0317,570.9175,0.1300,0.5500,-0.3000,0.6398,-0.0600,2.6700,9.3200,27,15.7500,6.8750,-26.8750,3,3,1,3,-13.0625
0.5290,312.7500,0.7500,-125.3345,35.8099,433.2994,452.4814,0.2000,0.3700,-0.2900,0.5109,0.0700,2.5900,9.2500,27,15.7500,6.8750,-26.8750,3,3,1,3,-13.0625
0.5490,312.5000,0.6250,-100.2676,-39.3908,522.8240,533.8072,0.0500,0.4500,-0.1500,0.4770,-0.0500,2.6900,9.3800,27,14.2500,6.7500,-28.0625,3,3,1,3,-13.1875
