# Sesion:3 Fecha:2026-04-03 22:56:14 Shots:1 Duracion:16,62s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
0.0000,44656,0.204407,-0.119812,0.699646,-0.674072,70.9857,0
0.0100,44666,0.200745,-0.124268,0.698059,-0.675964,71.5375,0
0.0200,44676,0.197144,-0.128662,0.696350,-0.677979,72.1126,0
0.0300,44686,0.193542,-0.132996,0.694519,-0.680054,72.7117,0
0.0400,44696,0.190002,-0.137146,0.692627,-0.682190,73.3276,0
0.0500,44706,0.186646,-0.141174,0.690613,-0.684326,73.9590,0
0.0600,44716,0.183472,-0.145142,0.688477,-0.686523,74.5952,0
0.0700,44726,0.177856,-0.152710,0.684143,-0.690674,75.2278,0
0.0800,44736,0.175354,-0.156372,0.682007,-0.692566,75.8469,0
0.0900,44746,0.173096,-0.159912,0.679993,-0.694275,76.4464,0
0.1000,44756,0.171082,-0.163269,0.678101,-0.695862,77.0284,0
0.1100,44766,0.169128,-0.166443,0.676392,-0.697266,77.5848,0
0.1200,44776,0.167297,-0.169434,0.674866,-0.698425,78.0959,0
0.1300,44786,0.165466,-0.172241,0.673767,-0.699280,78.5523,0
0.1400,44796,0.163513,-0.175049,0.672974,-0.699768,78.9535,0
0.1500,44806,0.161621,-0.177856,0.672424,-0.700012,79.3191,0
0.1600,44816,0.159729,-0.180725,0.671875,-0.700256,79.6864,0
0.1700,44826,0.158020,-0.183533,0.671082,-0.700684,80.0868,0
0.1800,44836,0.156494,-0.186279,0.670044,-0.701355,80.5339,0
0.1900,44846,0.155273,-0.188965,0.668640,-0.702209,81.0195,0
0.2000,44856,0.154236,-0.191528,0.667175,-0.703125,81.5203,0
0.2100,44866,0.153442,-0.193909,0.665771,-0.703979,82.0058,0
0.2200,44876,0.152710,-0.196167,0.664551,-0.704651,82.4717,0
0.2300,44886,0.152161,-0.198303,0.663452,-0.705261,82.9109,0
0.2400,44896,0.151611,-0.200256,0.662476,-0.705750,83.3298,0
0.2500,44906,0.151184,-0.202026,0.661499,-0.706177,83.7396,0
0.2600,44916,0.150330,-0.204224,0.660461,-0.706726,84.1420,0
0.2700,44926,0.149536,-0.206299,0.659424,-0.707275,84.5374,0
0.2800,44936,0.148865,-0.208130,0.658447,-0.707764,84.9105,0
0.2900,44946,0.148376,-0.209900,0.657532,-0.708252,85.2618,0
0.3000,44956,0.148499,-0.211121,0.656860,-0.708435,85.5963,0
0.3100,44966,0.148682,-0.212280,0.656250,-0.708618,85.9131,0
0.3200,44976,0.148926,-0.213440,0.655701,-0.708740,86.2190,0
0.3300,44986,0.149292,-0.214539,0.655151,-0.708862,86.5121,0
0.3400,44996,0.149658,-0.215698,0.654602,-0.708923,86.7931,0
0.3500,45006,0.150208,-0.218201,0.653503,-0.709045,87.0609,0
0.3600,45016,0.150330,-0.219543,0.653076,-0.709045,87.3098,0
0.3700,45026,0.150757,-0.220459,0.652771,-0.708923,87.5350,0
0.3800,45036,0.151123,-0.221375,0.652527,-0.708740,87.7433,0
0.3900,45046,0.151367,-0.222290,0.652344,-0.708618,87.9399,0
0.4000,45056,0.151550,-0.223145,0.652100,-0.708496,88.1250,0
0.4100,45066,0.151611,-0.224060,0.651978,-0.708374,88.2959,0
0.4200,45076,0.151550,-0.224976,0.651917,-0.708130,88.4519,0
0.4300,45086,0.151123,-0.226257,0.651855,-0.707825,88.6045,0
0.4400,45096,0.150696,-0.227539,0.651855,-0.707520,88.7551,0
0.4500,45106,0.150208,-0.228760,0.651794,-0.707275,88.9093,0
0.4600,45116,0.149841,-0.229919,0.651733,-0.707092,89.0708,0
0.4700,45126,0.149536,-0.231018,0.651611,-0.706909,89.2359,0
0.4800,45136,0.149353,-0.231995,0.651489,-0.706726,89.3970,0
0.4900,45146,0.149292,-0.232971,0.651367,-0.706543,89.5527,0
0.5000,45156,0.149353,-0.233765,0.651306,-0.706299,89.7014,0
0.5100,45166,0.149536,-0.234558,0.651367,-0.705933,89.8297,0
0.5200,45176,0.149780,-0.235291,0.651489,-0.705505,89.9457,0
0.5300,45186,0.150024,-0.236023,0.651733,-0.705017,90.0482,0
0.5400,45196,0.150330,-0.236633,0.651978,-0.704529,90.1415,0
0.5500,45206,0.150696,-0.237183,0.652283,-0.703979,90.2259,0
0.5600,45216,0.151123,-0.237671,0.652588,-0.703430,90.3048,0
0.5700,45226,0.151489,-0.238159,0.652954,-0.702881,90.3868,0
0.5800,45236,0.152039,-0.238464,0.653198,-0.702393,90.4717,0
0.5900,45246,0.152588,-0.238708,0.653381,-0.702026,90.5631,0
0.6000,45256,0.153198,-0.238953,0.653503,-0.701660,90.6574,0
0.6100,45266,0.153748,-0.239197,0.653564,-0.701416,90.7554,0
0.6200,45276,0.154419,-0.239807,0.653809,-0.700867,90.8508,0
0.6300,45286,0.154541,-0.240173,0.654053,-0.700439,90.9414,0
0.6400,45296,0.154663,-0.240417,0.654297,-0.700073,91.0305,0
0.6500,45306,0.154785,-0.240540,0.654480,-0.699829,91.1193,0
0.6600,45316,0.154846,-0.240540,0.654602,-0.699768,91.2137,0
0.6700,45326,0.154907,-0.240540,0.654602,-0.699707,91.3147,0
0.6800,45336,0.154968,-0.240417,0.654602,-0.699768,91.4135,0
0.6900,45346,0.155090,-0.240234,0.654480,-0.699890,91.5091,0
0.7000,45356,0.155151,-0.240051,0.654419,-0.700012,91.5922,0
0.7100,45366,0.155151,-0.239868,0.654480,-0.700073,91.6551,0
